GSM3272790	GSM3272781	GSM3272782	GSM3272789	GSM3272787	GSM3272779	GSM3272788	GSM3272780	geneIDs
3021	72	80	12948	2193	19	1025	18	ENSMUSG00000063558
11140	64	83	30776	8091	22	4094	16	ENSMUSG00000064294
4	2	2	24	6	0	2	1	ENSMUSG00000038242
4	4	7	3	3	2	0	9	ENSMUSG00000079554
21254	11335	19854	48535	14947	5202	7456	7443	ENSMUSG00000051223
5195	1791	4361	28965	7647	2671	1797	3663	ENSMUSG00000026034
1257	648	499	2489	752	235	472	187	ENSMUSG00000026035
1675	1152	869	3774	1122	423	599	280	ENSMUSG00000026036
2313	1159	951	4650	1253	503	793	281	ENSMUSG00000026037
4581	2519	2590	12814	3020	1641	1692	1099	ENSMUSG00000038174
4873	5156	5361	8198	2495	2080	1688	1432	ENSMUSG00000026032
4	0	0	3	2	0	1	0	ENSMUSG00000059647
89	109	77	55	24	40	19	31	ENSMUSG00000047528
17883	5748	11771	34197	11942	2638	6206	4288	ENSMUSG00000026031
4020	2022	1934	7061	2103	956	1289	567	ENSMUSG00000026029
13550	11502	8048	26002	7288	4581	4779	2690	ENSMUSG00000026028
1741	3399	4141	2510	855	1161	604	1023	ENSMUSG00000026027
0	0	4	3	2	0	0	1	ENSMUSG00000047383
0	0	0	0	0	4	0	0	ENSMUSG00000072295
2008	917	879	4788	1362	542	689	280	ENSMUSG00000038079
42	58	43	125	58	30	11	17	ENSMUSG00000097573
1680	2703	1644	2925	909	1018	555	571	ENSMUSG00000026024
6	8	3	4	8	2	12	0	ENSMUSG00000026023
4251	1801	3062	7029	3110	739	1484	860	ENSMUSG00000041075
0	0	0	4	1	0	0	0	ENSMUSG00000101409
5363	2074	2415	12016	3423	1129	1780	869	ENSMUSG00000026021
4829	1468	4915	9407	2723	789	1672	1801	ENSMUSG00000026020
48018	4849	3503	112210	27731	1991	16652	957	ENSMUSG00000067336
7406	2900	2208	26130	5143	948	2438	826	ENSMUSG00000041040
90	2	14	335	59	5	24	8	ENSMUSG00000026018
1575	1216	1475	2730	980	545	556	517	ENSMUSG00000026019
507	217	154	1453	327	225	157	73	ENSMUSG00000026017
7697	1743	1700	22754	5282	1638	2624	903	ENSMUSG00000073664
3495	1455	1283	7296	2302	429	1183	336	ENSMUSG00000049439
2726	2132	1281	6513	1954	623	1009	347	ENSMUSG00000026782
7078	1120	1062	14776	4169	331	2416	277	ENSMUSG00000026014
283	124	348	519	151	52	90	148	ENSMUSG00000101188
1077	38	37	889	256	10	369	5	ENSMUSG00000026012
0	0	0	4	0	0	1	0	ENSMUSG00000085965
150	6	0	308	80	2	50	0	ENSMUSG00000026011
710	48	15	465	199	5	220	10	ENSMUSG00000026009
0	0	0	6	0	0	2	0	ENSMUSG00000082804
4	2	2	5	0	0	0	0	ENSMUSG00000085447
3010	1232	631	2672	881	383	1016	166	ENSMUSG00000052062
4	0	1	6	0	0	1	0	ENSMUSG00000085842
0	0	0	1	0	2	0	0	ENSMUSG00000085019
1	6	1	0	0	3	0	6	ENSMUSG00000085400
5564	1341	1202	5927	2222	278	1985	231	ENSMUSG00000025969
3375	1227	1100	6956	2076	567	1102	477	ENSMUSG00000040865
1	0	1	7	1	0	5	0	ENSMUSG00000081429
85	82	81	294	72	66	22	49	ENSMUSG00000084799
